Modelo  aviao
Cor  aviao
Motor  aviao
Material  aviao
Velocidade  aviao
Modelo  s
Cor  d
Motor  f
Material  g
Velocidade  h
Modelo  ass
Cor  ddd
Motor  fff
Material  assa
Velocidade  ddd
Modelo  asas
Cor  sssad
Motor  das
Material  dads
Velocidade  11
Modelo  sdd
Cor  dsdf
Motor  dsd
Material  dsd
Velocidade  dd
Modelo  dsdd
Cor  d
Motor  f
Material  fssd
Velocidade  ff
Modelo  smamsam
Cor  ffakkdl
Motor  maksf
Material  kflf
Velocidade  dadda
Modelo  CONCORDE
Cor  PRETO
Motor  500CV
Material  CARBONO
Velocidade  2000
Modelo  Brasilia
Cor  Branco
Motor  300CV
Material  carbono
Velocidade  750
Modelo  AIRBUS
Cor  Branco
Motor  A30
Material  Fibra de carbono
Velocidade  300
